lat,lon,age (Ma),ORE_TONNAGE_MT,CU_PERCENT,MO_PERCENT,AU_GT,AG_GT,weight
54.8735,-3.9761, , , , , , ,1
53.318,140.0665,78.25, , , , , ,1
19.55494,-71.96437, ,45.4,0.56, , , ,3
51.22251,-124.48892,63, , , , , ,1
65.28875,-106.80174, ,6.901,1.43,0.03,0.11,16.34,2
38.99959,-119.28127, ,129.95,0.194,0.0018,0.004,0.133,4
49.98081,-120.59862, , , , , , ,1
63.62,-141.48,71.5, , , , , ,1
45.35639,-113.99389, ,54.4,0.5, , , ,3
-32.45225,148.99388,436.5, , , , , ,1
-32.73333,116.3667,2707,870.7,0.103, ,0.628, ,6
29.5833,56.2583, , , , , , ,1
45.994,23.01,10.9,90,0.3, ,0.03, ,3
16.17,120.83, , , , , , ,1
9.40937,125.48393,12.81, , , , , ,1
32.8,83.5,119.4,760,0.5, ,0.2, ,6
-17.53333,-51.6,749, , , , , ,1
-9.4,159.733,25, , , , , ,1
10.11666,124.18333, , , , , , ,1
62.21667,-142.73333,113,453.6,0.3,0.02, , ,5
29.3833,57.2167,28.9,50,0.3,0.008, , ,3
17.46667,120.81667,10.49,225,0.283,0.005,0.26,4,4
6.03333,116.75, , , , , , ,1
44.08779,22.10124,86.1,800,0.825,0.002,0.388, ,6
40.9591,41.4135,79.76, , , , , ,1
53.79095,126.63513,122.9, , , , , ,1
47.19712,74.70864,315.9,175,0.34,0.011,0.3,3.4,4
56.4858,-130.27722,196, ,1.86, ,2.74, ,1
41.58,22.35,24.25, ,0.3, ,0.28,1.5,1
44.07191,22.1303,86.6,591.129,0.62,0.002,0.24,1.92,5
47.91,19.0143,15.2, , , , , ,1
17.3,121.01, ,82,0.52, ,0.19, ,3
64.37,-144.13, , , , , , ,1
38.86124,-118.44933, , , , , , ,1
30.92972,-6.30139, ,57.354,0.92, , ,7.408,3
-33.33535,148.84531,436.5, , , , , ,1
9.605,125.554,2.12,300,0.6, ,1, ,5
44.94499,22.03588,65, , , , , ,1
51.8462,74.2897,481,1220,0.339,0.0049,0.15,1.132,6
-35.75889,-71.19569,12, , , , , ,1
42.8417,22.96487,83.25, , , , , ,1
-32.93042,148.05468,439.2, , , , , ,1
46.116,23.169,12.81, , , , , ,1
49.87781,-120.00562,193.9,181.7,0.15,0.037,0.013,0.81,4
-6.0,-50.0,1872,50,1.22,0.0175,0.75, ,3
